ind,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
10,0.0078051,1.3445,1.823,1.2773,1.3156,1.1886,0.37905,1.2147,1.3976,1.3597,1.3286,0.28387,1.3093,1.8512,1.1926,2.2297,1.2438,1.2605,1.6826,1.4618,0.26406,1.3023,0.73452,1.7144,1.3743,1.9938,1.2176,1.2506,0.11406,1.3305,1.0058,1.3786,0.67081
11,-0.085856,1.2007,1.7719,1.2519,1.4981,1.1886,0.66694,1.2969,1.3976,1.3597,1.2751,0.61621,1.2829,1.743,1.141,1.8135,1.2438,1.3186,1.544,1.4071,0.49662,1.2494,0.79157,1.4892,1.23,1.6798,1.2455,1.2506,0.38779,1.3011,1.3123,1.3335,0.73346
12,0.0078051,0.99938,1.1593,0.99773,1.2244,0.88189,0.83967,1.0227,1.1663,1.3039,0.90024,0.50543,1.0715,1.2559,1.1152,1.0405,1.1565,1.0861,0.89713,1.2977,0.49662,0.9321,0.79157,1.1515,0.98963,1.2402,0.99499,0.99766,0.29655,1.2423,1.2357,1.1081,0.73346
13,-0.4605,0.65427,0.80193,0.84521,0.85933,0.57514,0.14874,0.69361,0.75504,0.85765,0.65928,0.1177,0.86005,0.49831,0.75422,0.2081,0.66188,0.7374,0.43509,0.69615,0.14778,0.72056,0.16402,1.0952,0.77327,0.54947,0.60534,0.66042,-0.15968,0.80125,0.7759,0.74751,0.42024
14,-0.55416,0.74055,0.18932,0.89605,0.49431,0.60303,-0.081568,0.69361,0.65222,0.80187,0.71283,-0.38081,0.93933,-0.096956,0.72844,-0.029729,0.72007,0.82458,0.065456,0.69615,-0.25921,0.747,-0.34943,0.082083,0.65307,-0.20409,0.661,0.63232,-0.43342,0.80125,0.46937,0.61228,-0.51942
15,-0.74149,0.88434,-0.01489,0.97231,0.76808,0.63092,-0.31188,0.80331,0.70363,0.91343,0.71283,-0.54698,0.9129,0.17362,0.85736,0.029729,0.80735,0.8827,0.15786,0.83287,-0.25921,0.82633,-0.23533,-0.19934,0.41268,-0.015699,0.71667,0.85714,-0.70715,0.86006,0.7759,1.063,-0.64471
16,-0.74149,0.88434,-0.065941,1.0231,0.49431,0.88189,-0.54219,0.80331,0.67793,1.0808,0.63251,-0.71315,0.99219,0.1195,0.83158,0.029729,1.0692,0.96988,-0.026952,0.86021,-0.6662,0.85277,-0.23533,-0.030488,0.67711,0.10989,0.91149,0.77283,-0.52466,0.91887,0.92916,0.92781,-0.70736
17,-0.74149,0.68303,-0.065941,0.71811,0.49431,0.49149,-0.2543,0.66619,0.42089,0.57874,0.36478,-0.71315,0.7279,0.065389,0.9605,0.029729,0.86554,0.62116,0.15786,0.45005,-0.43364,0.61479,-0.29238,-0.030488,0.4848,-0.078496,0.52185,0.60422,-0.88965,0.65423,0.39274,0.61228,-0.77
18,-1.1161,0.62551,-0.01489,0.31139,0.12928,0.2684,-0.023991,0.39194,0.29238,0.35561,0.28446,-0.38081,0.46361,0.065389,0.29009,-0.14864,0.48732,0.4468,-0.026952,0.36801,-0.49178,0.50902,-0.064182,-0.086774,0.2444,-0.015699,0.46618,0.29508,-0.70715,0.47781,0.16284,0.25167,-0.70736
19,-0.4605,0.4242,0.087213,0.48933,-0.327,0.35206,0.37905,0.33709,0.086749,-0.034864,0.12382,0.45004,0.27861,0.28185,0.36744,0.029729,0.42913,0.18526,0.11166,0.25863,0.20592,0.40325,1.0198,0.025798,0.19632,-0.015699,0.27136,0.15457,-0.43342,0.3602,0.009579,0.16152,-0.26885
20,0.47611,-0.0071898,-0.3212,-0.14616,-0.69203,0.88189,0.95483,0.090272,0.0096387,-0.70425,0.31123,2.3887,-0.17069,0.011274,0.0064463,-0.2081,0.22548,0.098077,0.15786,-0.014812,2.1827,0.19171,1.0198,0.47608,0.14824,-0.015699,0.7445,0.12646,-0.25093,-0.13967,-0.37358,0.026294,0.2323
21,2.3493,-0.035949,-0.2191,-0.197,1.0418,0.63092,2.164,0.1177,0.52371,0.18826,0.84669,2.0564,-0.19712,-0.096956,0.058017,-0.26756,0.51641,0.5921,1.0819,0.039877,2.2409,0.085938,2.3319,1.4892,0.74923,-0.26689,0.29919,0.21077,2.2127,-0.16907,1.3123,0.65736,2.4248
22,2.2557,0.10785,0.75088,0.057195,0.85933,0.15686,1.7033,0.44679,0.18956,0.29983,0.23092,1.724,-0.11783,0.55243,0.2643,0.74322,-0.094555,0.098077,0.89713,0.20394,1.7176,0.19171,1.4762,0.53237,0.2444,0.73786,-0.17395,0.32318,2.2127,0.15437,0.92916,0.2066,1.9237
23,1.6001,-0.26602,0.18932,-0.24784,0.40305,-0.28931,1.473,-0.019426,-0.42732,-0.20221,-0.27777,1.1701,-0.24997,0.011274,-0.07091,0.14864,-0.3564,-0.39594,0.29648,-0.26091,1.1943,-0.20493,0.90567,0.13837,-0.23639,0.047097,-0.50793,-0.21077,2.1215,-0.11026,-0.067053,-0.19908,1.172
